Solver command line: ['/projects/sems/install/rhel6-x86_64/pyomo/utility/baron/18.5.9/bin/baron', '/tmp/tmp942i3H.pyomo.bar']

===========================================================================
 BARON version 18.5.9. Built: LNX-64 Wed May 9 23:08:52 EDT 2018 

 BARON is a product of The Optimization Firm, LLC. http://www.minlp.com/
 Licensee: John Siirola at Sandia National Laboratories, jdsiiro@sandia.gov.

 If you use this software, please cite publications from
 http://www.minlp.com/about-baron, such as: 

 Kilinc, M. and N. V. Sahinidis, Exploiting integrality in the global
 optimization of mixed-integer nonlinear programming problems in BARON,
 Optimization Methods and Software, 33, 540-562, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP: ILOG CPLEX                                      
 For NLP: IPOPT, FILTERSD, FILTERSQP
===========================================================================
 Doing local search
 Preprocessing found feasible solution with value  13.6528578553     
 Solving bounding LP
 Starting multi-start local search
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
      36691         26734         18345.64     13.5472          13.6408    
      36727         26760         18375.77     13.5472          13.6408    
      36805         26819         18406.07     13.5472          13.6408    
      36896         26885         18441.24     13.5472          13.6408    
      36994+        26956         18473.06     13.5472          13.6408    
      37045         26994         18503.22     13.5472          13.6408    
      37099         27034         18533.29     13.5472          13.6408    
      37193         27099         18599.45     13.5472          13.6408    
      37289         27169         18629.59     13.5472          13.6408    
      37357         27222         18659.72     13.5472          13.6408    
      37400         27256         18689.74     13.5472          13.6408    
      37489+        27319         18729.90     13.5472          13.6408    
      37580         27390         18760.08     13.5472          13.6408    
      37657         27439         18790.30     13.5472          13.6408    
      37708         27478         18820.49     13.5472          13.6408    
      37788         27536         18862.13     13.5472          13.6408    
      37885         27608         18916.91     13.5472          13.6408    
      37983         27682         18963.55     13.5472          13.6408    
      38076         27755         18993.76     13.5472          13.6408    
      38131         27794         19023.79     13.5472          13.6408    
      38192         27841         19054.04     13.5472          13.6408    
      38268         27899         19084.89     13.5472          13.6408    
      38362+        27978         19127.37     13.5472          13.6408    
      38458         28053         19157.37     13.5472          13.6408    
      38535         28109         19187.66     13.5472          13.6408    
      38579         28147         19217.79     13.5472          13.6408    
      38658         28207         19252.77     13.5472          13.6408    
      38752         28278         19282.98     13.5472          13.6408    
      38795         28311         19313.03     13.5472          13.6408    
      38878         28372         19343.16     13.5472          13.6408    
      38954         28432         19374.46     13.5472          13.6408    
      39052         28501         19404.57     13.5472          13.6408    
      39109         28544         19434.66     13.5472          13.6408    
      39153         28576         19466.48     13.5472          13.6408    
      39250         28643         19496.65     13.5472          13.6408    
      39285         28671         19526.89     13.5472          13.6408    
      39351         28722         19558.70     13.5472          13.6408    
      39448         28795         19588.98     13.5472          13.6408    
      39474         28814         19619.10     13.5472          13.6408    
      39552         28866         19667.17     13.5472          13.6408    
      39649         28941         19697.48     13.5472          13.6408    
      39676         28963         19727.67     13.5472          13.6408    
      39752         29016         19762.60     13.5472          13.6408    
      39849         29090         19792.80     13.5472          13.6408    
      39920         29138         19822.89     13.5472          13.6408    
      39990         29189         19853.08     13.5472          13.6408    
      40063         29243         19883.25     13.5472          13.6408    
      40152         29318         19918.96     13.5472          13.6408    
      40249         29385         19949.08     13.5472          13.6408    
      40264         29395         19979.27     13.5472          13.6408    
      40354         29460         20020.41     13.5472          13.6408    
      40452         29529         20050.43     13.5472          13.6408    
      40502         29565         20080.55     13.5472          13.6408    
      40558         29606         20110.72     13.5472          13.6408    
      40653+        29671         20155.05     13.5472          13.6408    
      40747         29735         20185.28     13.5472          13.6408    
      40796         29768         20215.53     13.5472          13.6408    
      40875         29820         20245.57     13.5472          13.6408    
      40955         29872         20275.78     13.5472          13.6408    
      41045         29932         20305.86     13.5472          13.6408    
      41098         29971         20335.89     13.5472          13.6408    
      41148         30010         20370.94     13.5472          13.6408    
      41244         30073         20401.25     13.5472          13.6408    
      41295         30111         20431.25     13.5472          13.6408    
      41363         30158         20461.42     13.5472          13.6408    
      41451         30227         20495.01     13.5472          13.6408    
      41547         30293         20525.12     13.5472          13.6408    
      41621         30350         20555.21     13.5472          13.6408    
      41680         30393         20585.34     13.5472          13.6408    
      41749         30441         20617.96     13.5472          13.6408    
      41847         30514         20663.69     13.5472          13.6408    
      41945         30584         20693.89     13.5472          13.6408    
      42000         30621         20723.94     13.5472          13.6408    
      42058         30665         20754.07     13.5472          13.6408    
      42145+        30729         20784.07     13.5472          13.6408    
      42213         30774         20814.14     13.5472          13.6408    
      42293         30833         20844.17     13.5472          13.6408    
      42357         30879         20874.35     13.5472          13.6408    
      42450         30946         20906.46     13.5472          13.6408    
      42544         31013         20940.93     13.5472          13.6408    
      42639         31083         20971.19     13.5472          13.6408    
      42673         31108         21001.43     13.5472          13.6408    
      42740+        31159         21038.71     13.5472          13.6408    
      42826         31224         21069.00     13.5472          13.6408    
      42845         31239         21099.25     13.5472          13.6408    
      42942         31307         21155.85     13.5472          13.6408    
      43038         31378         21185.90     13.5472          13.6408    
      43092         31416         21215.91     13.5472          13.6408    
      43142         31451         21248.55     13.5472          13.6408    
      43240         31527         21278.57     13.5472          13.6408    
      43293         31562         21308.57     13.5472          13.6408    
      43342         31601         21339.67     13.5472          13.6408    
      43438         31666         21369.83     13.5472          13.6408    
      43518         31725         21399.91     13.5472          13.6408    
      43586         31777         21430.09     13.5472          13.6408    
      43638         31807         21469.93     13.5472          13.6408    
      43735         31883         21500.26     13.5472          13.6408    
      43757         31900         21530.54     13.5472          13.6408    
      43838         31954         21571.18     13.5472          13.6408    
      43935         32025         21601.28     13.5472          13.6408    
      43991         32063         21631.49     13.5472          13.6408    
      44066         32121         21661.54     13.5472          13.6408    
      44138         32174         21695.37     13.5472          13.6408    
      44234         32245         21725.42     13.5472          13.6408    
      44297         32292         21755.43     13.5472          13.6408    
      44370         32342         21785.52     13.5472          13.6408    
      44436         32394         21823.26     13.5472          13.6408    
      44533         32463         21853.45     13.5472          13.6408    
      44573         32493         21883.49     13.5472          13.6408    
      44644         32545         21913.80     13.5472          13.6408    
      44735         32611         21950.51     13.5472          13.6408    
      44833         32683         21980.83     13.5472          13.6408    
      44876         32714         22010.95     13.5472          13.6408    
      44939         32760         22040.97     13.5472          13.6408    
      45032+        32830         22072.38     13.5472          13.6408    
      45108         32886         22102.64     13.5472          13.6408    
      45192         32952         22132.93     13.5472          13.6408    
      45260         32996         22163.00     13.5472          13.6408    
      45329         33046         22213.28     13.5472          13.6408    
      45426         33118         22243.55     13.5472          13.6408    
      45475         33155         22273.56     13.5472          13.6408    
      45540         33202         22303.65     13.5472          13.6408    
      45625         33266         22339.80     13.5472          13.6408    
      45718         33331         22369.83     13.5472          13.6408    
      45795         33392         22399.98     13.5472          13.6408    
      45857         33435         22430.12     13.5472          13.6408    
      45923         33482         22461.36     13.5472          13.6408    
      46017         33552         22491.51     13.5472          13.6408    
      46085         33598         22521.59     13.5472          13.6408    
      46144         33648         22551.79     13.5472          13.6408    
      46220         33702         22586.33     13.5472          13.6408    
      46316         33767         22616.55     13.5472          13.6408    
      46389         33820         22646.56     13.5472          13.6408    
      46453         33868         22676.70     13.5472          13.6408    
      46522         33919         22706.85     13.5472          13.6408    
      46614+        33987         22747.73     13.5472          13.6408    
      46700         34047         22778.05     13.5472          13.6408    
      46764         34094         22808.07     13.5472          13.6408    
      46833         34145         22838.25     13.5472          13.6408    
      46915+        34203         22874.39     13.5472          13.6408    
      47005         34270         22904.52     13.5472          13.6408    
      47075         34324         22934.60     13.5472          13.6408    
      47155         34381         22964.65     13.5472          13.6408    
      47231         34435         22994.75     13.5472          13.6408    
      47317         34496         23028.01     13.5472          13.6408    
      47412+        34567         23059.56     13.5472          13.6408    
      47486         34621         23089.63     13.5472          13.6408    
      47555         34672         23119.71     13.5472          13.6408    
      47615         34715         23151.11     13.5472          13.6408    
      47712         34787         23181.14     13.5472          13.6408    
      47770         34831         23211.26     13.5472          13.6408    
      47842         34883         23241.39     13.5472          13.6408    
      47915         34945         23280.26     13.5472          13.6408    
      48010         35016         23310.47     13.5472          13.6408    
      48066         35054         23340.72     13.5472          13.6408    
      48122         35091         23370.86     13.5472          13.6408    
      48215         35157         23406.75     13.5472          13.6408    
      48311         35230         23436.81     13.5472          13.6408    
      48384         35286         23466.97     13.5472          13.6408    
      48413         35307         23501.78     13.5472          13.6408    
      48508         35376         23532.02     13.5472          13.6408    
      48569         35415         23562.10     13.5472          13.6408    
      48636         35461         23592.45     13.5472          13.6408    
      48714         35521         23641.81     13.5472          13.6408    
      48810+        35590         23674.57     13.5472          13.6408    
      48875         35638         23704.79     13.5472          13.6408    
      48909         35662         23735.50     13.5472          13.6408    
      49002         35732         23765.64     13.5472          13.6408    
      49025         35751         23795.66     13.5472          13.6408    
      49109         35809         23831.34     13.5472          13.6408    
      49207         35881         23861.48     13.5472          13.6408    
      49224         35894         23891.69     13.5472          13.6408    
      49310         35953         23950.22     13.5472          13.6408    
      49408         36024         23980.22     13.5472          13.6408    
      49476         36084         24010.31     13.5472          13.6408    
      49523         36122         24040.36     13.5472          13.6408    
      49608         36191         24072.56     13.5472          13.6408    
      49708         36267         24116.94     13.5472          13.6408    
      49799         36332         24147.02     13.5472          13.6408    
      49854         36369         24177.12     13.5472          13.6408    
      49908         36410         24211.25     13.5472          13.6408    
      50003         36478         24241.36     13.5472          13.6408    
      50089         36537         24271.65     13.5472          13.6408    
      50158         36587         24301.90     13.5472          13.6408    
      50223         36636         24331.95     13.5472          13.6408    
      50308         36697         24370.44     13.5472          13.6408    
      50405         36761         24400.64     13.5472          13.6408    
      50459         36798         24430.67     13.5472          13.6408    
      50522         36838         24460.82     13.5472          13.6408    
      50607         36895         24501.37     13.5472          13.6408    
      50703         36966         24531.60     13.5472          13.6408    
      50758         37005         24561.67     13.5472          13.6408    
      50811         37046         24591.71     13.5472          13.6408    
      50907         37112         24640.74     13.5472          13.6408    
      51002         37185         24670.87     13.5472          13.6408    
      51053         37222         24701.10     13.5472          13.6408    
      51105         37260         24733.24     13.5472          13.6408    
      51201         37326         24763.50     13.5472          13.6408    
      51276         37383         24793.69     13.5472          13.6408    
      51347         37434         24823.85     13.5472          13.6408    
      51418         37487         24854.09     13.5472          13.6408    
      51505         37551         24892.74     13.5472          13.6408    
      51602         37620         24922.94     13.5472          13.6408    
      51644         37651         24952.99     13.5472          13.6408    
      51704         37698         24990.58     13.5472          13.6408    
      51801         37771         25020.77     13.5472          13.6408    
      51846         37806         25050.91     13.5472          13.6408    
      51913         37851         25081.16     13.5472          13.6408    
      52004         37918         25129.41     13.5472          13.6408    
      52100         37996         25159.62     13.5472          13.6408    
      52137         38022         25189.94     13.5472          13.6408    
      52203         38073         25222.59     13.5472          13.6408    
      52298         38143         25252.69     13.5472          13.6408    
      52320         38159         25282.83     13.5472          13.6408    
      52401         38217         25328.62     13.5472          13.6408    
      52497         38284         25358.64     13.5472          13.6408    
      52571         38342         25388.87     13.5472          13.6408    
      52644         38398         25418.91     13.5472          13.6408    
      52708         38445         25449.04     13.5472          13.6408    
      52802         38512         25490.90     13.5472          13.6408    
      52898         38587         25521.22     13.5472          13.6408    
      52908         38595         25551.28     13.5472          13.6408    
      53002         38659         25608.81     13.5472          13.6408    
      53099         38728         25638.96     13.5472          13.6408    
      53165         38771         25669.01     13.5472          13.6408    
      53237         38818         25699.10     13.5472          13.6408    
      53299         38862         25730.05     13.5472          13.6408    
      53393         38930         25760.18     13.5472          13.6408    
      53456         38981         25790.25     13.5472          13.6408    
      53521         39028         25820.38     13.5472          13.6408    
      53602         39086         25850.56     13.5472          13.6408    
      53697         39158         25880.67     13.5472          13.6408    
      53778         39212         25910.75     13.5472          13.6408    
      53836         39256         25941.03     13.5472          13.6408    
      53902         39303         25972.63     13.5472          13.6408    
      53997         39373         26002.67     13.5472          13.6408    
      54050         39412         26032.87     13.5472          13.6408    
      54100         39448         26067.19     13.5472          13.6408    
      54198         39520         26097.37     13.5472          13.6408    
      54250         39558         26127.48     13.5472          13.6408    
      54300         39594         26157.73     13.5472          13.6408    
      54399         39669         26198.09     13.5472          13.6408    
      54493         39735         26228.36     13.5472          13.6408    
      54563         39788         26258.51     13.5472          13.6408    
      54602         39818         26288.56     13.5472          13.6408    
      54696+        39885         26331.08     13.5472          13.6408    
      54788         39950         26361.24     13.5472          13.6408    
      54867         40007         26391.27     13.5472          13.6408    
      54934         40061         26421.49     13.5472          13.6408    
      54994         40109         26452.28     13.5472          13.6408    
      55091+        40180         26486.62     13.5472          13.6408    
      55134         40212         26516.87     13.5472          13.6408    
      55194         40258         26549.68     13.5472          13.6408    
      55293         40327         26579.79     13.5472          13.6408    
      55325         40349         26610.03     13.5472          13.6408    
      55396         40400         26645.54     13.5472          13.6408    
      55494+        40466         26680.22     13.5472          13.6408    
      55568         40516         26710.37     13.5472          13.6408    
      55650         40579         26740.37     13.5472          13.6408    
      55713         40624         26770.48     13.5472          13.6408    
      55797         40683         26800.74     13.5472          13.6408    
      55894         40754         26838.52     13.5472          13.6408    
      55989         40822         26868.81     13.5472          13.6408    
      56063         40880         26898.93     13.5472          13.6408    
      56136         40934         26929.11     13.5472          13.6408    
      56214         40993         26959.37     13.5472          13.6408    
      56291         41048         26991.35     13.5472          13.6408    
      56386         41115         27021.41     13.5472          13.6408    
      56425         41141         27051.58     13.5472          13.6408    
      56492         41192         27094.27     13.5472          13.6408    
      56587         41261         27124.32     13.5472          13.6408    
      56614         41283         27154.49     13.5472          13.6408    
      56691         41336         27190.84     13.5472          13.6408    
      56788         41413         27221.05     13.5472          13.6408    
      56848         41457         27251.24     13.5472          13.6408    
      56908         41505         27281.36     13.5472          13.6408    
      56988+        41561         27315.32     13.5472          13.6408    
      57081         41622         27345.61     13.5472          13.6408    
      57156         41681         27375.72     13.5472          13.6408    
      57223         41727         27405.92     13.5472          13.6408    
      57289         41777         27443.56     13.5472          13.6408    
      57386         41846         27473.84     13.5472          13.6408    
      57447         41894         27504.10     13.5472          13.6408    
      57510         41937         27534.19     13.5472          13.6408    
      57588         41993         27565.18     13.5472          13.6408    
      57686         42066         27595.30     13.5472          13.6408    
      57763         42121         27625.52     13.5472          13.6408    
      57829         42169         27655.61     13.5472          13.6408    
      57893         42215         27685.89     13.5472          13.6408    
      57988+        42287         27724.69     13.5472          13.6408    
      58086         42360         27754.86     13.5472          13.6408    
      58170         42425         27785.17     13.5472          13.6408    
      58243         42480         27815.25     13.5472          13.6408    
      58310         42528         27845.29     13.5472          13.6408    
      58386         42579         27881.30     13.5472          13.6408    
      58480         42646         27916.65     13.5472          13.6408    
      58577         42720         27946.73     13.5472          13.6408    
      58649         42777         27976.92     13.5472          13.6408    
      58725         42830         28007.13     13.5472          13.6408    
      58803         42881         28037.36     13.5472          13.6408    
      58885         42945         28067.55     13.5472          13.6408    
      58978         43014         28105.96     13.5472          13.6408    
      59077         43081         28136.17     13.5472          13.6408    
      59142         43134         28166.22     13.5472          13.6408    
      59207         43179         28196.26     13.5472          13.6408    
      59288         43237         28226.30     13.5472          13.6408    
      59380         43311         28262.37     13.5472          13.6408    
      59478+        43383         28296.02     13.5472          13.6408    
      59556         43439         28326.11     13.5472          13.6408    
      59631         43489         28356.30     13.5472          13.6408    
      59709         43551         28386.58     13.5472          13.6408    
      59780         43597         28416.63     13.5472          13.6408    
      59877+        43677         28447.58     13.5472          13.6408    
      59937         43714         28477.63     13.5472          13.6408    
      60000         43765         28507.82     13.5472          13.6408    
      60075         43811         28541.29     13.5472          13.6408    
      60172         43885         28571.56     13.5472          13.6408    
      60232         43932         28601.70     13.5472          13.6408    
      60297         43972         28632.00     13.5472          13.6408    
      60375         44031         28674.26     13.5472          13.6408    
      60471         44099         28704.50     13.5472          13.6408    
      60515         44132         28734.72     13.5472          13.6408    
      60575         44175         28764.75     13.5472          13.6408    
      60673+        44258         28807.92     13.5472          13.6408    
      60767         44336         28837.93     13.5472          13.6408    
      60842         44394         28867.97     13.5472          13.6408    
      60902         44436         28898.18     13.5472          13.6408    
      60975         44492         28950.96     13.5472          13.6408    
      61076         44569         28995.35     13.5472          13.6408    
      61174         44644         29033.40     13.5472          13.6408    
      61273         44715         29063.45     13.5472          13.6408    
      61341         44768         29093.66     13.5472          13.6408    
      61407         44811         29123.96     13.5472          13.6408    
      61482         44869         29154.10     13.5472          13.6408    
      61572+        44936         29184.73     13.5472          13.6408    
      61634         44988         29214.95     13.5472          13.6408    
      61685         45026         29245.12     13.5472          13.6408    
      61775         45101         29282.48     13.5472          13.6408    
      61874         45182         29335.76     13.5472          13.6408    
      61971         45254         29365.96     13.5472          13.6408    
      61993         45272         29395.98     13.5472          13.6408    
      62072+        45336         29437.66     13.5472          13.6408    
      62170         45407         29467.87     13.5472          13.6408    
      62243         45467         29497.98     13.5472          13.6408    
      62311         45521         29528.06     13.5472          13.6408    
      62387         45578         29558.22     13.5472          13.6408    
      62473         45647         29596.94     13.5472          13.6408    
      62570         45729         29626.97     13.5472          13.6408    
      62621         45768         29657.06     13.5472          13.6408    
      62693         45821         29687.28     13.5472          13.6408    
      62771         45879         29727.77     13.5472          13.6408    
      62870         45955         29757.78     13.5472          13.6408    
      62912         45989         29788.07     13.5472          13.6408    
      62977         46038         29818.28     13.5472          13.6408    
      63069+        46103         29855.31     13.5472          13.6408    
      63166         46174         29885.57     13.5472          13.6408    
      63240         46232         29915.79     13.5472          13.6408    
      63300         46278         29945.87     13.5472          13.6408    
      63365+        46325         29982.05     13.5472          13.6408    
      63462         46399         30012.34     13.5472          13.6408    
      63535         46458         30042.34     13.5472          13.6408    
      63576         46488         30072.57     13.5472          13.6408    
      63664+        46553         30107.89     13.5472          13.6408    
      63751         46611         30137.98     13.5472          13.6408    
      63830         46673         30168.24     13.5472          13.6408    
      63898         46725         30198.50     13.5472          13.6408    
      63970         46778         30228.69     13.5472          13.6408    
      64058         46841         30272.55     13.5472          13.6408    
      64155         46913         30320.98     13.5472          13.6408    
      64252+        46991         30356.58     13.5472          13.6408    
      64348         47061         30386.79     13.5472          13.6408    
      64430         47125         30416.93     13.5472          13.6408    
      64487         47166         30446.98     13.5472          13.6408    
      64548         47216         30483.12     13.5472          13.6408    
      64646         47286         30513.33     13.5472          13.6408    
      64705         47330         30543.46     13.5472          13.6408    
      64756         47364         30573.47     13.5472          13.6408    
      64846         47431         30611.64     13.5472          13.6408    
      64941         47496         30641.95     13.5472          13.6408    
      65011         47542         30672.04     13.5472          13.6408    
      65076         47590         30702.05     13.5472          13.6408    
      65147         47645         30732.10     13.5472          13.6408    
      65237+        47709         30775.38     13.5472          13.6408    
      65331         47782         30805.59     13.5472          13.6408    
      65400         47828         30835.61     13.5472          13.6408    
      65461         47870         30865.90     13.5472          13.6408    
      65539+        47929         30899.28     13.5472          13.6408    
      65634         47996         30929.40     13.5472          13.6408    
      65715         48056         30959.62     13.5472          13.6408    
      65758         48085         30989.71     13.5472          13.6408    
      65835+        48141         31021.82     13.5472          13.6408    
      65925         48203         31051.94     13.5472          13.6408    
      66001         48259         31082.19     13.5472          13.6408    
      66071         48307         31112.49     13.5472          13.6408    
      66134         48348         31143.23     13.5472          13.6408    
      66230         48410         31173.30     13.5472          13.6408    
      66301         48464         31203.35     13.5472          13.6408    
      66362         48507         31233.45     13.5472          13.6408    
      66434         48556         31263.56     13.5472          13.6408    
      66527+        48618         31300.98     13.5472          13.6408    
      66621         48686         31331.06     13.5472          13.6408    
      66689         48731         31361.17     13.5472          13.6408    
      66773         48787         31391.48     13.5472          13.6408    
      66842         48836         31421.68     13.5472          13.6408    
      66928+        48892         31453.22     13.5472          13.6408    
      67006         48942         31483.42     13.5472          13.6408    
      67061         48976         31513.61     13.5472          13.6408    
      67130         49026         31547.25     13.5472          13.6408    
      67225         49089         31577.28     13.5472          13.6408    
      67297         49136         31607.38     13.5472          13.6408    
      67358         49173         31637.48     13.5472          13.6408    
      67425         49217         31670.79     13.5472          13.6408    
      67521         49278         31700.93     13.5472          13.6408    
      67576         49313         31731.05     13.5472          13.6408    
      67636         49348         31761.20     13.5472          13.6408    
      67712         49393         31797.17     13.5472          13.6408    
      67808         49450         31827.48     13.5472          13.6408    
      67865         49481         31857.81     13.5472          13.6408    
      67929         49520         31887.89     13.5472          13.6408    
      68009+        49584         31926.93     13.5472          13.6408    
      68102         49645         31957.20     13.5472          13.6408    
      68169         49694         31987.49     13.5472          13.6408    
      68247         49751         32017.74     13.5472          13.6408    
      68320         49798         32047.98     13.5472          13.6408    
      68406         49861         32082.46     13.5472          13.6408    
      68505         49939         32112.60     13.5472          13.6408    
      68569         49986         32142.70     13.5472          13.6408    
      68606         50011         32178.33     13.5472          13.6408    
      68698         50076         32208.52     13.5472          13.6408    
      68769         50127         32238.74     13.5472          13.6408    
      68830         50171         32269.08     13.5472          13.6408    
      68903         50231         32299.62     13.5472          13.6408    
      68998         50299         32329.82     13.5472          13.6408    
      69032         50321         32360.01     13.5472          13.6408    
      69102+        50376         32394.45     13.5472          13.6408    
      69196         50447         32424.71     13.5472          13.6408    
      69276         50505         32454.77     13.5472          13.6408    
      69351         50555         32485.05     13.5472          13.6408    
      69424         50607         32515.19     13.5472          13.6408    
      69503         50666         32569.52     13.5472          13.6408    
      69601         50737         32599.73     13.5472          13.6408    
      69649         50774         32629.86     13.5472          13.6408    
      69708         50820         32659.87     13.5472          13.6408    
      69803         50893         32700.55     13.5472          13.6408    
      69897         50958         32730.82     13.5472          13.6408    
      69962         51003         32760.91     13.5472          13.6408    
      70019         51046         32790.99     13.5472          13.6408    
      70104         51104         32834.96     13.5472          13.6408    
      70201         51174         32865.24     13.5472          13.6408    
      70257         51217         32895.55     13.5472          13.6408    
      70304         51251         32929.66     13.5472          13.6408    
      70400         51321         32959.92     13.5472          13.6408    
      70438         51348         32990.23     13.5472          13.6408    
      70502         51395         33031.19     13.5472          13.6408    
      70600         51470         33072.76     13.5472          13.6408    
      70700         51543         33114.74     13.5472          13.6408    
      70795         51618         33144.81     13.5472          13.6408    
      70835         51643         33174.87     13.5472          13.6408    
      70911         51697         33205.05     13.5472          13.6408    
      71001         51757         33247.37     13.5472          13.6408    
      71096         51830         33277.52     13.5472          13.6408    
      71162         51879         33307.66     13.5472          13.6408    
      71232         51929         33337.89     13.5472          13.6408    
      71301         51975         33368.06     13.5472          13.6408    
      71398         52043         33398.40     13.5472          13.6408    
      71455         52088         33428.69     13.5472          13.6408    
      71501+        52118         33465.11     13.5472          13.6408    
      71595         52189         33495.35     13.5472          13.6408    
      71666         52249         33525.49     13.5472          13.6408    
      71732         52299         33555.74     13.5472          13.6408    
      71804         52352         33585.93     13.5472          13.6408    
      71900+        52422         33617.80     13.5472          13.6408    
      71966         52467         33648.06     13.5472          13.6408    
      72042         52524         33678.30     13.5472          13.6408    
      72117         52572         33708.50     13.5472          13.6408    
      72202         52637         33745.25     13.5472          13.6408    
      72297         52702         33775.28     13.5472          13.6408    
      72361         52747         33805.34     13.5472          13.6408    
      72426         52793         33835.38     13.5472          13.6408    
      72498         52851         33865.55     13.5472          13.6408    
      72596         52918         33903.87     13.5472          13.6408    
      72690         52989         33933.89     13.5472          13.6408    
      72759         53046         33963.92     13.5472          13.6408    
      72809         53086         33994.07     13.5472          13.6408    
      72894         53146         34050.43     13.5472          13.6408    
      72989         53215         34080.54     13.5472          13.6408    
      73059         53272         34110.68     13.5472          13.6408    
      73126         53321         34140.93     13.5472          13.6408    
      73193         53367         34186.54     13.5472          13.6408    
      73290         53435         34216.68     13.5472          13.6408    
      73344         53474         34246.99     13.5472          13.6408    
      73422         53530         34277.25     13.5472          13.6408    
      73493         53574         34311.74     13.5472          13.6408    
      73589         53645         34341.89     13.5472          13.6408    
      73636         53672         34372.19     13.5472          13.6408    
      73691+        53712         34404.65     13.5472          13.6408    
      73785         53775         34434.76     13.5472          13.6408    
      73861         53836         34464.85     13.5472          13.6408    
      73943         53896         34495.10     13.5472          13.6408    
      73996         53932         34526.49     13.5472          13.6408    
      74094         54007         34556.63     13.5472          13.6408    
      74163         54055         34586.65     13.5472          13.6408    
      74216         54091         34616.86     13.5472          13.6408    
      74293         54153         34652.89     13.5472          13.6408    
      74389         54221         34683.12     13.5472          13.6408    
      74423         54246         34713.33     13.5472          13.6408    
      74492         54295         34751.88     13.5472          13.6408    
      74588         54363         34782.06     13.5472          13.6408    
      74641         54401         34812.40     13.5472          13.6408    
      74693         54440         34842.69     13.5472          13.6408    
      74790         54512         34872.78     13.5472          13.6408    
      74859         54560         34902.99     13.5472          13.6408    
      74930         54612         34933.18     13.5472          13.6408    
      74995         54659         34968.37     13.5472          13.6408    
      75092         54738         34998.64     13.5472          13.6408    
      75140         54775         35028.76     13.5472          13.6408    
      75194         54815         35063.28     13.5472          13.6408    
      75292         54885         35093.36     13.5472          13.6408    
      75335         54913         35123.54     13.5472          13.6408    
      75395         54958         35153.66     13.5472          13.6408    
      75490         55026         35201.68     13.5472          13.6408    
      75585         55096         35231.73     13.5472          13.6408    
      75656         55148         35261.92     13.5472          13.6408    
      75709         55185         35292.08     13.5472          13.6408    
      75781         55238         35322.24     13.5472          13.6408    
      75874+        55311         35356.76     13.5472          13.6408    
      75968         55377         35386.95     13.5472          13.6408    
      76040         55429         35417.03     13.5472          13.6408    
      76115         55484         35447.17     13.5472          13.6408    
      76172         55530         35477.34     13.5472          13.6408    
      76271         55605         35526.44     13.5472          13.6408    
      76369         55686         35556.53     13.5472          13.6408    
      76438         55739         35586.69     13.5472          13.6408    
      76502         55789         35616.87     13.5472          13.6408    
      76570         55844         35646.99     13.5472          13.6408    
      76667         55920         35689.00     13.5472          13.6408    
      76765         55995         35719.22     13.5472          13.6408    
      76795         56015         35749.37     13.5472          13.6408    
      76867         56072         35787.67     13.5472          13.6408    
      76965         56152         35817.76     13.5472          13.6408    
      77006         56182         35847.76     13.5472          13.6408    
      77069         56228         35878.44     13.5472          13.6408    
      77166         56302         35908.55     13.5472          13.6408    
      77216         56336         35938.58     13.5472          13.6408    
      77278         56380         35968.59     13.5472          13.6408    
      77368         56444         36004.28     13.5472          13.6408    
      77466         56511         36034.48     13.5472          13.6408    
      77509         56540         36064.69     13.5472          13.6408    
      77571         56585         36097.36     13.5472          13.6408    
      77666         56658         36127.52     13.5472          13.6408    
      77739         56711         36157.74     13.5472          13.6408    
      77800         56750         36187.80     13.5472          13.6408    
      77874         56797         36217.95     13.5472          13.6408    
      77967         56863         36254.30     13.5472          13.6408    
      78065         56926         36284.58     13.5472          13.6408    
      78129         56968         36314.81     13.5472          13.6408    
      78183         57004         36344.85     13.5472          13.6408    
      78265+        57050         36382.43     13.5472          13.6408    
      78358         57123         36412.43     13.5472          13.6408    
      78436         57175         36442.50     13.5472          13.6408    
      78504         57231         36472.71     13.5472          13.6408    
      78566         57279         36503.53     13.5472          13.6408    
      78662         57348         36546.77     13.5472          13.6408    
      78759         57418         36576.90     13.5472          13.6408    
      78792         57439         36607.15     13.5472          13.6408    
      78866         57491         36637.44     13.5472          13.6408    
      78961         57559         36679.12     13.5472          13.6408    
      79056         57628         36709.15     13.5472          13.6408    
      79071         57638         36739.40     13.5472          13.6408    
      79154         57702         36778.08     13.5472          13.6408    
      79247         57769         36808.28     13.5472          13.6408    
      79263         57782         36838.38     13.5472          13.6408    
      79347         57845         36878.60     13.5472          13.6408    
      79445         57917         36908.73     13.5472          13.6408    
      79496         57952         36938.94     13.5472          13.6408    
      79548         57995         36970.80     13.5472          13.6408    
      79646         58062         37000.88     13.5472          13.6408    
      79689         58095         37031.14     13.5472          13.6408    
      79750         58137         37062.74     13.5472          13.6408    
      79846         58206         37092.92     13.5472          13.6408    
      79902         58249         37123.08     13.5472          13.6408    
      79971         58299         37153.36     13.5472          13.6408    
      80049         58360         37184.92     13.5472          13.6408    
      80146         58423         37215.16     13.5472          13.6408    
      80207         58468         37245.16     13.5472          13.6408    
